id,ingredient,created_at
M14593,packaging material,15-05-2023 23:59:20
M97197,thermocoal,15-05-2023 23:59:20
M32099,paints,15-05-2023 23:59:20
M18290,brush,15-05-2023 23:59:20
M13435,dry leafs,15-05-2023 23:59:20
M97081,dry sugar cane leftovers,15-05-2023 23:59:20
M11396,soil,15-05-2023 23:59:20
M55303,sapling,15-05-2023 23:59:20
M12281,pvc pipe,16-05-2023 00:00:05
M30496,wood primer,16-05-2023 00:00:05
M78908,single pack pu,16-05-2023 00:00:05
M73564,golden brown gloss paint,16-05-2023 00:00:05
M93851,paint brush,16-05-2023 00:00:05
M91925,hobby motor,16-05-2023 00:00:05
M54988,battery 9v,16-05-2023 00:00:05
M58879,potentiometer,16-05-2023 00:00:05
M36464,cycle spokes,16-05-2023 00:00:05
M99459,instant glue,16-05-2023 00:00:05
M91507,hot melt glue,16-05-2023 00:00:05
M44598,sandpaper,16-05-2023 00:00:05
M20380,heat transfer sheet,16-05-2023 00:00:05
M44119,rivets,16-05-2023 00:00:05
M12157,washers,16-05-2023 00:00:05
M12677,ohp sheet,16-05-2023 00:00:05
M45083,hack saw,16-05-2023 00:00:05
M34672,"pencil, scale",16-05-2023 00:00:05
M95648,marker,16-05-2023 00:00:05
M70285,protractor,16-05-2023 00:00:05
M49616,screwdriver set,16-05-2023 00:00:05
M72358,cutter,16-05-2023 00:00:05
M82398,nose plier,16-05-2023 00:00:05
M47401,cutting plier,16-05-2023 00:00:05
M25204,hammer,16-05-2023 00:00:05
M09117,clothes iron,16-05-2023 00:00:05
M86674,drill machine,16-05-2023 00:00:05
M37931,scissor,16-05-2023 00:00:05
M13239,cardboard box,16-05-2023 00:00:26
M36435,tissue paper,16-05-2023 00:00:26
M83321,card stock,16-05-2023 00:00:26
M21320,cardboard thick paper,16-05-2023 00:00:26
M46567,needle,16-05-2023 00:00:26
M87842,sketch pen,16-05-2023 00:00:26
M91989,bottle caps,16-05-2023 00:00:26
M84940,glue stick,16-05-2023 00:00:26
M83228,plastic bags,16-05-2023 00:00:49
M70011,greaseproof paper,16-05-2023 00:00:49
M32088,iron,16-05-2023 00:00:49
M60590,cutter,16-05-2023 00:00:49
M35383,screwdriver,16-05-2023 00:00:49
M90199,self-tapping screws,16-05-2023 00:00:49
M28786,used/recycled speaker,16-05-2023 00:00:49
M42505,hot glue,16-05-2023 00:00:49
M04208,plastic,16-05-2023 00:01:49
M52582,plexiglass,16-05-2023 00:01:49
M08676,glue,16-05-2023 00:01:49
M94099,plastic box,16-05-2023 00:02:41
M27870,low-wattage lighting components,16-05-2023 00:02:41
M65436,two-wire cord,16-05-2023 00:02:41
M84260,two-prong plug,16-05-2023 00:02:41
M18727,switch,16-05-2023 00:02:41
M18302,twist wire connectors,16-05-2023 00:02:41
M97648,"small piece of plywood, masonite, mdf",16-05-2023 00:02:41
M70645,wood screws,16-05-2023 00:02:41
M76623,valve housing,16-05-2023 00:03:05
M76485,garbage can,16-05-2023 00:03:05
M47448,zip ties,16-05-2023 00:03:05
M18132,landscaping fabric,16-05-2023 00:03:05
M64687,course rocks,16-05-2023 00:03:05
M06176,magnet wire,16-05-2023 00:03:22
M20034,aluminum tape,16-05-2023 00:03:22
M20970,veggie oil filter,16-05-2023 00:03:22
M55334,roll,16-05-2023 00:03:22
M08327,battery,16-05-2023 00:03:22
M78105,bed,16-05-2023 00:03:54
M69353,entertainment equipment,16-05-2023 00:03:54
M72513,poles,16-05-2023 00:03:54
M89167,wood,16-05-2023 00:03:54
M15015,fabric,16-05-2023 00:03:54
M70382,decorations,16-05-2023 00:03:54
M34974,zipties,16-05-2023 00:03:54
M44588,curtains,16-05-2023 00:03:54
M38470,framework,16-05-2023 00:03:54
M20731,book,16-05-2023 00:03:54
M00426,cd,16-05-2023 00:03:54
M94330,dvd,16-05-2023 00:03:54
M65613,blog,16-05-2023 00:03:54
M23417,tv,16-05-2023 00:03:54
M13948,light,16-05-2023 00:03:54
M39118,computer,16-05-2023 00:03:54
M66541,hifi,16-05-2023 00:03:54
M26072,kit,16-05-2023 00:03:54
M99944,litres of emulsion paint,16-05-2023 00:04:19
M70698,plastic,16-05-2023 00:04:19
M00075,rim,16-05-2023 00:04:19
M42488,lid,16-05-2023 00:04:19
M02553,hacksaw,16-05-2023 00:04:19
M47577,padsaw,16-05-2023 00:04:19
M31386,pruning saw,16-05-2023 00:04:19
M31572,tenon saw,16-05-2023 00:04:19
M10323,dried paint,16-05-2023 00:04:19
M95933,bucket,16-05-2023 00:04:19
M99694,acetone,16-05-2023 00:05:05
M16484,treatment plant,16-05-2023 00:05:05
M86475,evaporate,16-05-2023 00:05:05
M72064,recycling,16-05-2023 00:05:05
M34742,machine,16-05-2023 00:05:05
M79508,chemicals,16-05-2023 00:05:05
M27761,copper pipe,16-05-2023 00:05:05
M98995,copper fittings,16-05-2023 00:05:05
M90423,torch,16-05-2023 00:05:05
M93448,solder,16-05-2023 00:05:05
M52297,flux,16-05-2023 00:05:05
M85181,pvc pipe,16-05-2023 00:05:05
M57423,pvc fittings,16-05-2023 00:05:05
M59178,old radiator,16-05-2023 00:05:05
M32494,rubber hose,16-05-2023 00:05:05
M08393,radiator fan,16-05-2023 00:05:05
M02758,d.c. power supply,16-05-2023 00:05:05
M72604,water pump,16-05-2023 00:05:05
M77129,hot plate,16-05-2023 00:05:05
M00943,pressure cooker,16-05-2023 00:05:05
M92779,ceramic chips,16-05-2023 00:05:05
M07717,screen,16-05-2023 00:05:05
M08835,electrical box,16-05-2023 00:05:05
M43310,switch,16-05-2023 00:05:05
M67392,epoxy,16-05-2023 00:05:05
M36501,water,16-05-2023 00:05:05
M63625,glycol,16-05-2023 00:05:05
M70679,jacket,16-05-2023 00:05:05
M94812,cooling tower,16-05-2023 00:05:05
M75526,pvc pipe,16-05-2023 00:05:05
M31851,copper pipe,16-05-2023 00:05:05
M53355,through wall fittings,16-05-2023 00:05:05
M12364,coolant,16-05-2023 00:05:05
M86375,expansion tank,16-05-2023 00:05:05
M46439,fraction column,16-05-2023 00:05:05
M53884,carrier,16-05-2023 00:05:05
M95562,screen,16-05-2023 00:05:05
M88260,reduction couples,16-05-2023 00:05:05
M84697,pressure cooker,16-05-2023 00:05:05
M07945,cart,16-05-2023 00:05:05
M95449,fan,16-05-2023 00:05:05
M14323,power supply,16-05-2023 00:05:05
M25113,unions,16-05-2023 00:05:05
M70293,bypass valve,16-05-2023 00:05:05
M18374,expansion port,16-05-2023 00:05:05
M24051,paint filter,16-05-2023 00:05:05
M60638,strainer,16-05-2023 00:05:05
M09881,contaminated acetone,16-05-2023 00:05:05
M72133,refracting tower,16-05-2023 00:05:05
M06631,liquid acetone,16-05-2023 00:05:05
M70856,acetone container,16-05-2023 00:05:05
M12225,solar power,16-05-2023 00:05:05
M30983,geo-thermal cooling system,16-05-2023 00:05:05
M63654,parabolic dish,16-05-2023 00:05:32
M28017,cones,16-05-2023 00:05:32
M07686,plastic sheet,16-05-2023 00:05:32
M49673,mylar,16-05-2023 00:05:32
M51174,corrugated plastic,16-05-2023 00:05:32
M59639,wheat paste,16-05-2023 00:05:32
M55445,knife,16-05-2023 00:05:32
M95749,duct tape,16-05-2023 00:05:32
M86753,packing tape,16-05-2023 00:05:32
M63789,paint can,16-05-2023 00:05:32
M24891,plastic strips,16-05-2023 00:05:32
M28535,one inch screws,16-05-2023 00:05:32
M75915,bamboo,16-05-2023 00:05:32
M71067,pot,16-05-2023 00:05:32
M98039,glass top,16-05-2023 00:05:32
M07493,cardboard,16-05-2023 00:05:32
M76570,foil,16-05-2023 00:05:32
M65910,aluminium foil,16-05-2023 00:05:32
M20636,metal tubing,16-05-2023 00:05:32
M66563,holes,16-05-2023 00:05:32
M24357,equatorial mount,16-05-2023 00:05:32
M77993,chair leg,16-05-2023 00:05:32
M88502,optimized position,16-05-2023 00:05:32
M15714,yeast,16-05-2023 00:06:07
M32272,lactic acid,16-05-2023 00:06:07
M77925,fermentation,16-05-2023 00:06:07
M81184,kitchen waste,16-05-2023 00:06:07
M54949,bio-fueled water pump,16-05-2023 00:06:07
M76504,proof of concept water pump,16-05-2023 00:06:07
M68523,water,16-05-2023 00:06:07
M34180,compost tea,16-05-2023 00:06:07
M87783,plants,16-05-2023 00:06:07
M41181,power pack,16-05-2023 00:06:07
M34815,sugar,16-05-2023 00:06:07
M17155,moldy bread,16-05-2023 00:06:07
M84608,stale pie,16-05-2023 00:06:07
M59930,potato skins,16-05-2023 00:06:07
M98549,garden waste,16-05-2023 00:06:07
M01221,slug damaged green beans,16-05-2023 00:06:07
M81417,morning glory stems,16-05-2023 00:06:07
M13105,grass,16-05-2023 00:06:07
M70469,lawn mower,16-05-2023 00:06:07
M66308,indoor plants,16-05-2023 00:06:07
M45746,white goods,16-05-2023 00:06:38
M32019,bathroom project,16-05-2023 00:06:38
M37354,holes,16-05-2023 00:06:38
M57434,plumbing layout,16-05-2023 00:06:38
M92215,trendy granite sink,16-05-2023 00:06:38
M80174,sleek white toilet,16-05-2023 00:06:38
M69330,â£40,16-05-2023 00:06:38
M87539,kiln fired sink,16-05-2023 00:06:38
M39241,toilet,16-05-2023 00:06:38
M13578,diamond core drill,16-05-2023 00:06:38
M34665,ceramic goods,16-05-2023 00:06:38
M97311,computer,16-05-2023 00:07:01
M20375,macbook pro,16-05-2023 00:07:01
M36931,tower,16-05-2023 00:07:01
M27608,monitor,16-05-2023 00:07:01
M44943,waste basket,16-05-2023 00:07:01
M90112,supplies,16-05-2023 00:07:01
M34601,screwdriver,16-05-2023 00:07:01
M64033,knife,16-05-2023 00:07:01
M06659,wire cutters,16-05-2023 00:07:01
M83137,scissors,16-05-2023 00:07:01
M36266,screw,16-05-2023 00:07:01
M00465,plastic,16-05-2023 00:07:01
M17147,screen,16-05-2023 00:07:01
M34336,gloves,16-05-2023 00:07:01
M97155,guts,16-05-2023 00:07:01
M72310,glass,16-05-2023 00:07:01
M56058,metal,16-05-2023 00:07:01
M01268,plastic piece,16-05-2023 00:07:01
M09863,stand,16-05-2023 00:07:01
M19537,desk,16-05-2023 00:07:01
M04723,slider/adjustment piece,16-05-2023 00:07:01
M76351,hole,16-05-2023 00:07:01
M19411,duct tape,16-05-2023 00:07:01
M16705,trash,16-05-2023 00:07:01
M47796,dog poo,16-05-2023 00:08:16
