post_id,url
P83810,https://www.instructables.com/Making-Useful-Plant-Pot-From-Waste-Packaging-Mater
P03905,https://www.instructables.com/Solstice-Shifting-Clock
P30512,https://www.instructables.com/DIY-Best-of-Waste
P79840,https://www.instructables.com/A-Bluetooth-Speaker-Built-With-Waste-Material
P30021,https://www.instructables.com/3D-WASTE-BLUETOOTH
P74341,https://www.instructables.com/Glowing-light-from-packaging-waste
P97912,https://www.instructables.com/Puppy-Waste-Composter
P99061,https://www.instructables.com/Waste-Veggie-Oil-Heater
P50019,https://www.instructables.com/How-to-keep-warm-on-waste-heat
P49009,https://www.instructables.com/Paint-can-bucket-or-waste-bin
P09071,https://www.instructables.com/Acetone-Recycler-Industrial-waste-management
P53269,https://www.instructables.com/Make-a-parabolic-solar-dish-from-an-8-by-4-sheet-o
P52923,https://www.instructables.com/The-pent-up-power-of-kitchen-waste
P17361,https://www.instructables.com/How-to-drill-holes-into-SINKS-or-toilets-WC-loo-wa
P14029,https://www.instructables.com/Recycled-Computer-Monitor-to-Waste-Basket-super-e
P40404,https://www.instructables.com/Dog-Waste-Compost-Bin
P89065,https://www.instructables.com/Free-Boxes-Free-Waste-Removal
P05014,https://www.instructables.com/Barrel-of-Toxic-Waste-Halloween-Costume
P09171,https://www.instructables.com/Low-Cost-Do-It-Yourself-Dry-Toilet-System-Why-Was
P81678,https://www.instructables.com/DIY-steam-punk-ring-made-out-of-some-metal-waste
P39363,https://www.instructables.com/Create-colourful-wastelands-by-colouring-waste
P42753,https://www.instructables.com/Warm-hats-from-waste-fleece-fabric
P49695,https://www.instructables.com/OTA-HDTV-Antenna-from-Construction-Waste
P12240,https://www.instructables.com/Cardboard-Waste-Tower
P29444,https://www.instructables.com/Consume-an-Entire-Coconut-9-Products-Zero-waste
P60889,https://www.instructables.com/Creative-Moneybox-Made-From-Plastic-Bottle-Waste
P71810,https://www.instructables.com/Arduino-nano-controling-a-dental-vacuum-motor-by-c
P97472,https://www.instructables.com/Fly-tying-waste-basket-and-Microphone-Wind-Shield
P33972,https://www.instructables.com/Waste-Plastic-Pump
P63654,https://www.instructables.com/Wristlet-From-Waste-Fabric
P94919,https://www.instructables.com/Demijohn-Carboy-Tilt-device-a-simple-way-to-not-wa
P16728,https://www.instructables.com/Rocket-stove-manufacturing-waste-40-minutes
P27742,https://www.instructables.com/Electronic-Waste-Bracelet
P29389,https://www.instructables.com/Low-waste-low-spillage-chicken-feeder
P85426,https://www.instructables.com/Shock-prank-out-of-waste
P91680,https://www.instructables.com/Sparebots-selfmade-electronic-waste-DIY-Project
P21465,https://www.instructables.com/Ashtray-made-of-total-waste-material
P74177,https://www.instructables.com/Paper-Stand-from-Waste
P84874,https://www.instructables.com/Night-Lights-Made-from-Waste-Materials
P20052,https://www.instructables.com/Titrating-Waste-Vegetable-Oil-for-Biodiesel-Produc
P96180,https://www.instructables.com/Smart-Waste-Bin-Swachh-Bharat
P35400,https://www.instructables.com/Make-Vanity-Basin-waste-grids
P63372,https://www.instructables.com/DIY-Flower-Vase-out-of-waste-news-paper
P95817,https://www.instructables.com/DIY-Flower-Vase-out-of-waste-products
P42245,https://www.instructables.com/Simple-waste-basket-from-palletwood-and-bent-steel
