id,post_id,ingredient_id
PM03279,P83810,M14593
PM36049,P83810,M97197
PM29257,P83810,M32099
PM96531,P83810,M18290
PM88697,P83810,M13435
PM71483,P83810,M97081
PM77398,P83810,M11396
PM04166,P83810,M55303
PM28658,P03905,M12281
PM66238,P03905,M30496
PM03479,P03905,M78908
PM26063,P03905,M73564
PM85182,P03905,M93851
PM71427,P03905,M91925
PM28894,P03905,M54988
PM77237,P03905,M58879
PM00852,P03905,M36464
PM20927,P03905,M99459
PM55393,P03905,M91507
PM36422,P03905,M44598
PM28222,P03905,M20380
PM13397,P03905,M44119
PM49798,P03905,M12157
PM47053,P03905,M12677
PM79132,P03905,M45083
PM05696,P03905,M34672
PM60218,P03905,M95648
PM16362,P03905,M70285
PM10329,P03905,M49616
PM38428,P03905,M72358
PM81071,P03905,M82398
PM75675,P03905,M47401
PM92350,P03905,M25204
PM06007,P03905,M09117
PM29872,P03905,M86674
PM10459,P03905,M37931
PM49824,P30512,M13239
PM59430,P30512,M36435
PM47820,P30512,M83321
PM48521,P30512,M21320
PM27461,P30512,M46567
PM34994,P30512,M87842
PM89594,P30512,M91989
PM09359,P30512,M84940
PM22432,P79840,M83228
PM95569,P79840,M70011
PM21418,P79840,M32088
PM49736,P79840,M72358
PM83887,P79840,M35383
PM73001,P79840,M90199
PM89734,P79840,M28786
PM07332,P79840,M42505
PM41348,P30021,M04208
PM35094,P30021,M52582
PM27654,P30021,M08676
PM41246,P74341,M94099
PM85910,P74341,M27870
PM51857,P74341,M65436
PM60143,P74341,M84260
PM34719,P74341,M18727
PM32326,P74341,M18302
PM73580,P74341,M97648
PM34439,P74341,M70645
PM56156,P97912,M76623
PM52351,P97912,M76485
PM28747,P97912,M47448
PM66785,P97912,M18132
PM11916,P97912,M64687
PM14372,P99061,M06176
PM82241,P99061,M20034
PM89193,P99061,M20970
PM78173,P99061,M55334
PM50433,P99061,M08327
PM61349,P50019,M78105
PM32954,P50019,M69353
PM01505,P50019,M72513
PM94467,P50019,M89167
PM89354,P50019,M15015
PM98420,P50019,M70382
PM84013,P50019,M34974
PM14622,P50019,M44588
PM56986,P50019,M38470
PM59471,P50019,M20731
PM94647,P50019,M00426
PM34523,P50019,M94330
PM99872,P50019,M65613
PM66543,P50019,M23417
PM81960,P50019,M13948
PM83749,P50019,M39118
PM79819,P50019,M66541
PM20033,P50019,M26072
PM21175,P49009,M99944
PM69515,P49009,M04208
PM78505,P49009,M00075
PM64043,P49009,M42488
